epoch,step,test_loss,test_mae,train_loss,train_mae_epoch,train_mae_step,valid_loss,valid_mae
0,26,,,,,,1241.7196044921875,25.002120971679688
0,26,,,1728.3729248046875,29.900165557861328,,,
1,49,,,,,32.789573669433594,,
1,53,,,,,,1250.87890625,24.98093605041504
1,53,,,1878.45556640625,31.461132049560547,,,
2,80,,,,,,1252.2591552734375,25.01171875
2,80,,,1888.0963134765625,31.028329849243164,,,
3,99,,,,,26.3756046295166,,
3,107,,,,,,1255.947509765625,25.121177673339844
3,107,,,1833.35693359375,30.649608612060547,,,
4,134,,,,,,1242.310546875,24.9045467376709
4,134,,,1802.4034423828125,30.20125961303711,,,
5,149,,,,,28.56711196899414,,
5,161,,,,,,1244.4755859375,24.999908447265625
5,161,,,1743.2637939453125,30.44252586364746,,,
6,188,,,,,,1240.4429931640625,24.919912338256836
6,188,,,1812.2835693359375,30.445310592651367,,,
7,199,,,,,35.46636199951172,,
7,215,,,,,,1242.8367919921875,24.930221557617188
7,215,,,1906.870849609375,31.281919479370117,,,
8,242,,,,,,1238.7991943359375,24.957439422607422
8,242,,,1813.2921142578125,30.29132080078125,,,
9,249,,,,,29.234216690063477,,
9,269,,,,,,1238.862060546875,24.952608108520508
9,269,,,1849.169677734375,30.69295883178711,,,
10,296,,,,,,1235.056640625,24.912975311279297
10,296,,,1845.3251953125,30.90191078186035,,,
11,299,,,,,35.39830017089844,,
11,323,,,,,,1232.6502685546875,24.94601058959961
11,323,,,1741.3470458984375,30.22719383239746,,,
12,349,,,,,26.158281326293945,,
12,350,,,,,,1233.8338623046875,24.874874114990234
12,350,,,1773.263916015625,30.162282943725586,,,
13,377,,,,,,1234.3387451171875,24.86696434020996
13,377,,,1759.1541748046875,30.29886817932129,,,
14,399,,,,,25.601924896240234,,
14,404,,,,,,1236.7484130859375,24.998912811279297
14,404,,,1708.749755859375,29.962480545043945,,,
15,431,,,,,,1238.1458740234375,24.89182472229004
15,431,,,1851.4307861328125,30.303394317626953,,,
16,449,,,,,27.52306365966797,,
16,458,,,,,,1239.052490234375,24.788782119750977
